Year,Total Population (in Thousand),Urban Population(in Thousand),Employed People (In thousand),People Employed in Agriculture,People Employed in Industry,People Employed in Services,Total GDP,GDP (Current US$) (In 10 million),GDP Per Capita(Current US$)
1991,105599.125,21391.215,34800.32533,24189.70688,4725.884154,5884.734961,30957483.95,3095.748395,293.1604211
1992,107983.708,22255.442,35821.66984,24681.13107,4552.934251,6587.604866,31708874.59,3170.887459,293.6449876
1993,110350.641,23136.115,36881.54202,25123.70744,4381.527234,7376.308404,33166519.42,3316.651942,300.5557477
1994,112737.684,24044.693,37997.16328,25541.69362,4206.28586,8249.183801,33768660.88,3376.866088,299.5330371
1995,115169.933,24983.814,39166.54939,25861.67209,4073.320987,9235.472317,37939748.77,3793.974877,329.4240761
1996,117649.927,25958.28,40296.19333,26043.42864,3940.9676,10315.82565,46438484.11,4643.848411,394.7174919
1997,120160.571,26961.629,41414.74162,26861.60167,4116.625143,10436.5152,48244309.13,4824.430913,401.4986674
1998,122682.818,27993.765,42556.40959,27631.87688,4323.73115,10600.80156,49984559.47,4998.455947,407.4291762
1999,125189.655,29046.504,43705.09358,28382.08883,4545.329565,10782.04662,51270569.88,5127.056988,409.5431838
2000,127657.862,30114.49,44875.26995,29083.66136,4801.653799,10989.95351,53369787.32,5336.978732,418.0689421
2001,130088.709,31346.175,45892.21209,28632.15084,5144.516993,12115.54382,53991289.84,5399.128984,415.0344043
2002,132478.077,32796.273,46887.85239,28085.8243,5495.256425,13311.46101,54724081.49,5472.408149,413.0802826
2003,134791.598,34276.155,47895.82892,27391.6239,5895.97674,14613.01751,60158929.19,6015.892919,446.3106757
2004,136986.429,35772.636,49059.59537,26639.35991,6367.935254,16052.3002,65108544.25,6510.854425,475.2919302
2005,139035.505,37274.029,50200.22981,25687.45667,6922.611671,17595.18016,69442943.09,6944.294309,499.4619402
2006,140921.154,38777.274,51485.16344,24754.06752,7475.645967,19260.59956,71819083.68,7181.908368,509.6401899
2007,142660.381,40283.012,52216.68383,24985.68242,7983.930938,19252.29077,79611888.21,7961.188821,558.0518407
2008,144304.164,41802.03,52881.58935,25208.65267,8482.207415,19190.72926,91631278.24,9163.127824,634.9870697
2009,145924.795,43352.797,53369.56838,25366.5552,8960.751019,19042.26216,102477791.5,10247.77915,702.2644196
2010,147575.433,44954.428,55193.77479,26112.17561,9730.662033,19356.45665,115279077.5,11527.90775,781.1535777
2011,149273.134,46610.536,56038.41474,26085.88163,10131.74534,19826.39173,128637938.7,12863.79387,861.7621622
2012,151005.733,48311.264,56867.58001,26022.60366,10554.62255,20290.35272,133355749.5,13335.57495,883.1171296
2013,152761.413,50047.694,57694.35308,25968.22735,10973.46622,20752.65951,149990451,14999.0451,981.8608514
2014,154517.385,51817.405,58780.87831,26022.2951,11432.88128,21325.70193,172885454.9,17288.54549,1118.873808
2015,156256.287,53608.407,59850.84413,26011.17631,11946.22794,21893.43988,195078678.7,19507.86787,1248.45331
2016,157977.151,55423.124,60925.41579,25990.78228,12465.33951,22463.20015,221415188,22141.5188,1401.564635
2017,159685.421,57259.998,64516.70976,26193.78318,13174.31218,25148.61317,249710922.5,24971.09225,1563.767819
2018,161376.713,59115.518,65892.7563,25955.1563,13732.05051,26205.54948,274038973.4,27403.89734,1698.132081
2019,163046.173,60987.421,67193.32751,25735.04392,14325.61722,27132.66637,302563398.9,30256.33989,1855.69151
2020,164689.383,62873.466,63655.12858,24029.81104,13781.33534,25850.34772,324239176.8,32423.91768,1968.792225
